# Time-averaged data for fix averho
# TimeStep v_rho
100000 1.00203
110000 1.00304
120000 1.0029
130000 1.0038
140000 1.00397
150000 1.00457
160000 1.00521
170000 1.00554
180000 1.006
190000 1.00646
200000 1.007
210000 1.00728
220000 1.00748
230000 1.00784
240000 1.00818
250000 1.00844
260000 1.00868
270000 1.00883
280000 1.00898
290000 1.00911
300000 1.00919
310000 1.00939
320000 1.0095
330000 1.0097
340000 1.00996
350000 1.01011
360000 1.01024
370000 1.01036
380000 1.01045
390000 1.01059
400000 1.01073
410000 1.01079
420000 1.0109
430000 1.01102
440000 1.01109
450000 1.01114
460000 1.01117
470000 1.01126
480000 1.01133
490000 1.01137
500000 1.01138
510000 1.01143
520000 1.01148
530000 1.01151
540000 1.01152
550000 1.0116
560000 1.01166
570000 1.01165
580000 1.01168
590000 1.01169
600000 1.01173
610000 1.01179
620000 1.01189
630000 1.01195
640000 1.01203
650000 1.01208
660000 1.01215
670000 1.01221
680000 1.01225
690000 1.01222
700000 1.01219
710000 1.01225
720000 1.01228
730000 1.01234
740000 1.0124
750000 1.01246
760000 1.01253
770000 1.01259
780000 1.01261
790000 1.01263
800000 1.01265
810000 1.01271
820000 1.01276
830000 1.01277
840000 1.01281
850000 1.01284
860000 1.01287
870000 1.01289
880000 1.01294
890000 1.01296
900000 1.01299
910000 1.01303
920000 1.01308
930000 1.01315
940000 1.01321
950000 1.01327
960000 1.01332
970000 1.01337
980000 1.01343
990000 1.0135
1000000 1.01357
1010000 1.01365
1020000 1.0137
1030000 1.01377
1040000 1.01383
1050000 1.01391
1060000 1.01396
1070000 1.014
1080000 1.01404
1090000 1.01407
1100000 1.01409
1110000 1.01413
1120000 1.01416
1130000 1.01422
1140000 1.01427
1150000 1.01433
1160000 1.01436
1170000 1.01439
1180000 1.01443
1190000 1.01445
1200000 1.01446
1210000 1.01448
1220000 1.01453
1230000 1.01459
1240000 1.01467
1250000 1.01473
1260000 1.01478
1270000 1.01484
1280000 1.01489
1290000 1.01495
1300000 1.01501
1310000 1.01507
1320000 1.01512
1330000 1.01515
1340000 1.01516
1350000 1.01517
1360000 1.01519
1370000 1.01521
1380000 1.01524
1390000 1.01529
1400000 1.01533
1410000 1.01537
1420000 1.0154
1430000 1.01545
1440000 1.01547
1450000 1.0155
1460000 1.01554
1470000 1.0156
1480000 1.01566
1490000 1.01573
1500000 1.01578
1510000 1.01584
1520000 1.01589
1530000 1.01595
1540000 1.016
1550000 1.01604
1560000 1.01609
1570000 1.01615
1580000 1.0162
1590000 1.01622
1600000 1.01624
1610000 1.01626
1620000 1.01627
1630000 1.01628
1640000 1.01629
1650000 1.01631
1660000 1.01633
1670000 1.01636
1680000 1.0164
1690000 1.01644
1700000 1.01647
1710000 1.01649
1720000 1.01652
1730000 1.01654
1740000 1.01657
1750000 1.01661
1760000 1.01666
1770000 1.0167
1780000 1.01672
1790000 1.01674
1800000 1.01674
1810000 1.01677
1820000 1.01677
1830000 1.01679
1840000 1.01682
1850000 1.01684
1860000 1.01687
1870000 1.01691
1880000 1.01694
1890000 1.01696
1900000 1.01699
1910000 1.01702
1920000 1.01705
1930000 1.01706
1940000 1.01708
1950000 1.01709
1960000 1.01712
1970000 1.01714
1980000 1.01717
1990000 1.0172
2000000 1.01722
2010000 1.01723
2020000 1.01724
2030000 1.01726
2040000 1.01728
2050000 1.01729
2060000 1.0173
2070000 1.0173
2080000 1.01731
2090000 1.01731
2100000 1.01733
2110000 1.01734
2120000 1.01735
2130000 1.01736
2140000 1.01737
2150000 1.01739
2160000 1.01741
2170000 1.01742
2180000 1.01742
2190000 1.01742
2200000 1.01743
2210000 1.01744
2220000 1.01744
2230000 1.01746
2240000 1.01747
2250000 1.01749
2260000 1.01751
2270000 1.01752
2280000 1.01753
2290000 1.01753
2300000 1.01754
2310000 1.01755
2320000 1.01757
2330000 1.01758
2340000 1.01759
2350000 1.01761
2360000 1.01763
2370000 1.01766
2380000 1.01767
2390000 1.01769
2400000 1.01771
2410000 1.01771
2420000 1.01771
2430000 1.01772
2440000 1.01772
2450000 1.01773
2460000 1.01774
2470000 1.01774
2480000 1.01775
2490000 1.01775
2500000 1.01775
2510000 1.01776
2520000 1.01777
2530000 1.01778
2540000 1.0178
2550000 1.01782
2560000 1.01783
2570000 1.01784
2580000 1.01785
2590000 1.01786
2600000 1.01788
2610000 1.01789
2620000 1.0179
2630000 1.0179
2640000 1.01791
2650000 1.01792
2660000 1.01794
2670000 1.01795
2680000 1.01796
2690000 1.01797
2700000 1.01798
2710000 1.01799
2720000 1.01801
2730000 1.01801
2740000 1.01801
2750000 1.01801
2760000 1.01801
2770000 1.01802
2780000 1.01802
2790000 1.01802
2800000 1.01802
2810000 1.01803
2820000 1.01804
2830000 1.01806
2840000 1.01808
2850000 1.01809
2860000 1.01811
2870000 1.01812
2880000 1.01813
2890000 1.01814
2900000 1.01816
2910000 1.01818
2920000 1.01819
2930000 1.01819
2940000 1.0182
2950000 1.01822
2960000 1.01823
2970000 1.01824
2980000 1.01826
2990000 1.01826
3000000 1.01826
3010000 1.01827
3020000 1.01827
3030000 1.01828
3040000 1.01829
3050000 1.0183
3060000 1.01831
3070000 1.01833
3080000 1.01835
3090000 1.01836
3100000 1.01838
3110000 1.0184
3120000 1.01842
3130000 1.01843
3140000 1.01844
3150000 1.01844
3160000 1.01846
3170000 1.01848
3180000 1.01849
3190000 1.01851
3200000 1.01852
3210000 1.01853
3220000 1.01854
3230000 1.01855
3240000 1.01856
3250000 1.01857
3260000 1.01858
3270000 1.01859
3280000 1.0186
3290000 1.01861
3300000 1.01862
3310000 1.01862
3320000 1.01862
3330000 1.01862
3340000 1.01863
3350000 1.01864
3360000 1.01865
3370000 1.01867
3380000 1.0187
3390000 1.01871
3400000 1.01873
3410000 1.01875
3420000 1.01876
3430000 1.01878
3440000 1.0188
3450000 1.01881
3460000 1.01882
3470000 1.01884
3480000 1.01885
3490000 1.01886
3500000 1.01887
3510000 1.01887
3520000 1.01888
3530000 1.01888
3540000 1.01889
3550000 1.01889
3560000 1.01889
3570000 1.01889
3580000 1.0189
3590000 1.01891
3600000 1.01892
3610000 1.01893
3620000 1.01894
3630000 1.01895
3640000 1.01896
3650000 1.01897
3660000 1.01897
3670000 1.01899
3680000 1.019
3690000 1.01901
3700000 1.01902
3710000 1.01904
3720000 1.01905
3730000 1.01906
3740000 1.01907
3750000 1.01908
3760000 1.01909
3770000 1.01911
3780000 1.01913
3790000 1.01914
3800000 1.01915
3810000 1.01916
3820000 1.01916
3830000 1.01917
3840000 1.01917
3850000 1.01918
3860000 1.01918
3870000 1.01919
3880000 1.0192
3890000 1.0192
3900000 1.0192
3910000 1.0192
3920000 1.0192
3930000 1.01921
3940000 1.01922
3950000 1.01922
3960000 1.01923
3970000 1.01924
3980000 1.01925
3990000 1.01926
4000000 1.01927
4010000 1.01928
4020000 1.01929
4030000 1.0193
4040000 1.01931
4050000 1.01932
