# Time-averaged data for fix viscave
# TimeStep v_visc
10000 4.03182
20000 4.32007
30000 6.76028
40000 6.83109
50000 6.40195
60000 7.18711
70000 8.20253
80000 9.15148
90000 10.2044
100000 10.2713
110000 10.3657
120000 10.5363
130000 10.7349
140000 11.1842
150000 11.3109
160000 11.3072
170000 11.8422
180000 12.1615
190000 12.5201
200000 12.8924
210000 12.7965
220000 12.8371
230000 12.7205
240000 12.9258
250000 13.1659
260000 13.5812
270000 13.7112
280000 13.6674
290000 13.8765
300000 14.1116
310000 14.3503
320000 14.7248
330000 14.8971
340000 14.7994
350000 14.7865
360000 15.0228
370000 15.3383
380000 15.5914
390000 15.9155
400000 16.3233
410000 16.5029
420000 16.6302
430000 16.795
440000 16.8916
450000 17.0234
460000 17.1829
470000 17.4606
480000 17.6275
490000 17.6508
500000 17.6916
510000 17.7146
520000 17.7601
530000 17.9281
540000 18.0826
550000 18.1919
560000 18.2562
570000 18.2938
580000 18.4606
590000 18.5996
600000 18.7056
610000 18.8878
620000 19.0382
630000 19.1215
640000 19.2144
650000 19.2912
660000 19.3624
670000 19.5367
680000 19.6751
690000 19.8663
700000 19.9425
710000 19.9068
720000 19.8933
730000 19.8455
740000 19.8718
750000 19.9493
760000 20.0846
770000 20.2075
780000 20.4379
790000 20.6
800000 20.7057
810000 20.6862
820000 20.7515
830000 20.7779
840000 20.7872
850000 20.8172
860000 20.9538
870000 21.0297
880000 21.107
890000 21.178
900000 21.1245
910000 21.1736
920000 21.2151
930000 21.2941
940000 21.3522
950000 21.4105
960000 21.5289
970000 21.6701
980000 21.7941
990000 21.8447
1000000 21.8712
1010000 21.9315
1020000 21.9513
1030000 21.9979
1040000 22.0612
1050000 22.0398
1060000 22.0269
1070000 22.0122
1080000 22.0432
1090000 22.0747
1100000 22.0712
1110000 22.0804
1120000 22.0678
1130000 22.0274
1140000 21.9993
1150000 21.9256
1160000 21.8765
1170000 21.872
1180000 21.8988
1190000 21.8784
1200000 21.8308
1210000 21.7639
1220000 21.7277
1230000 21.7254
1240000 21.7311
1250000 21.6943
1260000 21.6543
1270000 21.5927
1280000 21.5555
1290000 21.538
1300000 21.5601
1310000 21.5585
1320000 21.5522
1330000 21.5633
1340000 21.5743
1350000 21.5431
1360000 21.5128
1370000 21.5232
1380000 21.496
1390000 21.5276
1400000 21.5438
1410000 21.5794
1420000 21.644
1430000 21.6947
1440000 21.7709
1450000 21.8228
1460000 21.8961
1470000 21.9294
1480000 21.9802
1490000 21.9862
1500000 21.9573
1510000 21.9688
1520000 22.0112
1530000 22.0363
1540000 22.0992
1550000 22.1407
1560000 22.1781
1570000 22.2547
1580000 22.3444
1590000 22.3491
1600000 22.3831
1610000 22.3819
1620000 22.4188
1630000 22.3993
1640000 22.4368
1650000 22.4696
1660000 22.4683
1670000 22.464
1680000 22.449
1690000 22.4395
1700000 22.4453
1710000 22.4767
1720000 22.4741
1730000 22.4694
1740000 22.448
1750000 22.4504
1760000 22.4594
1770000 22.4862
1780000 22.5243
1790000 22.5253
1800000 22.5048
1810000 22.4874
1820000 22.4705
1830000 22.4834
1840000 22.4779
1850000 22.454
1860000 22.4634
1870000 22.468
1880000 22.4621
1890000 22.4449
1900000 22.4111
1910000 22.3557
1920000 22.297
1930000 22.3236
1940000 22.3277
1950000 22.3592
1960000 22.3643
1970000 22.3695
1980000 22.3281
1990000 22.322
2000000 22.2756
2010000 22.2306
2020000 22.2054
2030000 22.2111
2040000 22.2003
2050000 22.2118
2060000 22.2297
2070000 22.2441
2080000 22.27
2090000 22.2835
2100000 22.2735
2110000 22.2733
2120000 22.3217
2130000 22.3543
2140000 22.3742
2150000 22.3658
2160000 22.3754
2170000 22.3893
2180000 22.397
2190000 22.4135
2200000 22.4138
2210000 22.4053
2220000 22.3488
2230000 22.3143
2240000 22.3028
2250000 22.318
2260000 22.337
2270000 22.3784
2280000 22.4185
2290000 22.4498
2300000 22.4347
2310000 22.4279
2320000 22.4366
2330000 22.4364
2340000 22.4556
2350000 22.4901
2360000 22.5206
2370000 22.5569
2380000 22.5751
2390000 22.5865
2400000 22.6277
2410000 22.6505
2420000 22.6564
2430000 22.6596
2440000 22.6573
2450000 22.6634
2460000 22.6719
2470000 22.6928
2480000 22.7258
2490000 22.7252
2500000 22.6994
2510000 22.7162
2520000 22.7082
2530000 22.6968
2540000 22.6825
2550000 22.6707
2560000 22.6636
2570000 22.6672
2580000 22.6707
2590000 22.6932
2600000 22.703
2610000 22.6908
2620000 22.7092
2630000 22.7432
2640000 22.7731
2650000 22.812
2660000 22.8399
2670000 22.8861
2680000 22.9312
2690000 22.9764
2700000 23.0032
2710000 23.032
2720000 23.06
2730000 23.097
2740000 23.1183
2750000 23.1202
2760000 23.1272
2770000 23.1344
2780000 23.1358
2790000 23.1702
2800000 23.1956
2810000 23.2048
2820000 23.2226
2830000 23.2468
2840000 23.2639
2850000 23.2977
2860000 23.3095
2870000 23.3221
2880000 23.3123
2890000 23.3022
2900000 23.3178
2910000 23.3426
2920000 23.3459
2930000 23.3496
2940000 23.3654
2950000 23.3849
2960000 23.4077
2970000 23.403
2980000 23.3767
2990000 23.3682
3000000 23.3689
3010000 23.3561
3020000 23.3482
3030000 23.3397
3040000 23.3265
3050000 23.3284
3060000 23.3137
3070000 23.2917
3080000 23.2902
3090000 23.2868
3100000 23.2931
3110000 23.2881
3120000 23.2793
3130000 23.2722
3140000 23.2747
3150000 23.2586
3160000 23.2741
3170000 23.2749
3180000 23.259
3190000 23.2433
3200000 23.2442
3210000 23.2526
3220000 23.2531
3230000 23.2337
3240000 23.2252
3250000 23.2232
3260000 23.2236
3270000 23.2182
3280000 23.2188
3290000 23.2176
3300000 23.2153
3310000 23.2375
3320000 23.2739
3330000 23.2926
3340000 23.2955
3350000 23.3077
3360000 23.332
3370000 23.3628
3380000 23.3822
3390000 23.3905
3400000 23.397
3410000 23.4224
3420000 23.4228
3430000 23.4353
3440000 23.4693
3450000 23.4805
3460000 23.4907
3470000 23.5054
3480000 23.5253
3490000 23.5445
3500000 23.5841
3510000 23.6038
3520000 23.6091
3530000 23.6124
3540000 23.6187
3550000 23.6192
3560000 23.6321
3570000 23.653
3580000 23.6522
