# Time-averaged data for fix nvt_monitor
# TimeStep v_pressure v_etotal v_ke v_pe
1000 -103.405 12904.9 9871.86 3033.01
2000 -134.991 12901 9872.77 3028.26
3000 -74.5784 12917.9 9881.05 3036.8
4000 9.83374 12971 9883.17 3087.78
5000 38.0612 12871.1 9845.01 3026.14
6000 -163.717 12936.5 9885.06 3051.47
7000 -87.5707 12983.8 9905.36 3078.43
8000 -64.75 12985 9897.92 3087.09
9000 -51.7249 12915.4 9874.42 3040.93
10000 81.9727 12994.2 9904.58 3089.62
11000 -20.4622 12957.2 9868.98 3088.25
12000 17.4842 12992.8 9893.32 3099.51
13000 117.733 13021.7 9916.54 3105.14
14000 -73.5635 13004.7 9907.57 3097.11
15000 143.324 12970.1 9892.03 3078.08
16000 107.668 12942.6 9878.35 3064.25
17000 141.228 12928 9875.07 3052.92
18000 86.5166 12976.9 9895.92 3080.97
19000 93.2994 12962.2 9900.58 3061.58
20000 -64.284 12961.1 9882.41 3078.72
21000 -87.091 12986.9 9898.4 3088.47
22000 10.8518 12958.8 9869.3 3089.5
23000 -17.7038 12906.7 9860.56 3046.17
24000 -13.3703 12914.2 9854.93 3059.29
25000 -69.5651 12954.8 9874.41 3080.39
26000 -186.365 12979.4 9889.39 3090.01
27000 60.3354 12905 9860.31 3044.68
28000 -49.6665 12933.6 9883.13 3050.43
29000 51.0747 13000.2 9907.87 3092.36
30000 -20.6459 12968.1 9890.5 3077.6
31000 44.9651 13024.6 9908.37 3116.24
32000 -53.9554 12945.4 9884.77 3060.6
33000 12.603 12915.1 9857.61 3057.44
34000 -104.569 12933.8 9868.26 3065.53
35000 -166.315 12940.9 9884.36 3056.51
36000 53.7564 12983.8 9886.07 3097.69
37000 -173.122 12961.1 9884.21 3076.92
38000 -62.7355 12930.5 9875.9 3054.61
39000 27.0889 12948 9872.75 3075.27
40000 -216.443 12999.4 9920.59 3078.77
41000 -173.799 12974.3 9896.29 3078
42000 -31.1449 12924.2 9860.09 3064.06
43000 -166.73 12894.6 9866.66 3027.9
44000 -111.147 12879.9 9858.39 3021.5
45000 -62.8759 12916.9 9880.39 3036.47
46000 -50.2139 12869.2 9859.76 3009.47
47000 -196.323 12881.3 9865.19 3016.09
48000 -62.2311 12904.4 9870.24 3034.19
49000 74.1505 12949.6 9897.08 3052.48
50000 -54.7164 12947.6 9887.86 3059.76
51000 -165.792 12898 9864.04 3034
52000 -225.321 12880.7 9842.64 3038.09
53000 -128.609 12864.1 9856.87 3007.21
54000 -36.1514 12857.9 9853.66 3004.24
55000 -47.4846 12879.5 9858.77 3020.7
56000 -43.9477 12968.6 9909.32 3059.3
57000 -57.0401 12963.4 9905.05 3058.34
58000 -113.519 12867.1 9878.03 2989.03
59000 -57.7334 12822.6 9836.05 2986.56
60000 -43.6566 12961.8 9909 3052.79
61000 -109.386 12965 9903.96 3061.01
62000 -162.03 12888.2 9865.72 3022.45
63000 -158.117 12874.6 9865.1 3009.46
64000 -103.145 12917.5 9876.92 3040.59
65000 -355.161 12944.6 9903.08 3041.51
66000 -28.6142 12907.7 9889.26 3018.44
67000 -94.21 12940.8 9902.14 3038.62
68000 -175.601 12980.8 9904.74 3076.04
69000 -26.1313 12945.9 9907.3 3038.62
70000 -222.961 12921.5 9887.33 3034.21
71000 -198.933 12896.3 9888.59 3007.67
72000 -124.913 12921.8 9895.06 3026.78
73000 -168.107 12933.4 9904.28 3029.12
74000 -146.3 12926.8 9902.14 3024.64
75000 -147.111 12957 9902.54 3054.48
76000 49.5609 12925.1 9889.17 3035.92
77000 -178.289 12882.4 9885.63 2996.74
78000 -282.202 12852 9856.94 2995.08
79000 -180.29 12903 9879.83 3023.15
80000 -96.4632 12916 9911.33 3004.68
81000 -41.9376 12835.9 9857.33 2978.52
82000 -42.9475 12820.9 9864.36 2956.55
83000 -29.7508 12898.1 9886.83 3011.29
84000 12.7906 12901.8 9901.07 3000.68
85000 -219.672 12828.6 9861.64 2966.92
86000 -17.0516 12817.6 9851.13 2966.43
87000 -55.177 12914.4 9890.3 3024.07
88000 63.2232 12913.7 9900.41 3013.32
89000 -120.864 12930.6 9898.26 3032.32
90000 -53.8716 12885 9887.35 2997.67
91000 -17.9052 12926.7 9896.13 3030.55
92000 -66.7057 12922.3 9903.02 3019.31
93000 -85.8372 12966.6 9919.43 3047.18
94000 2.69267 12874.7 9868.6 3006.09
95000 -242.422 12912.2 9874.54 3037.62
96000 15.9247 12903.2 9863.55 3039.62
97000 -183.762 12908.2 9875.45 3032.71
98000 -192.174 12904.5 9875.34 3029.17
99000 -138.039 12866.5 9868.36 2998.19
100000 4.12788 12896.1 9890.06 3006.09
101000 -191.439 12852.3 9874.77 2977.5
102000 -203.952 12912.8 9899.86 3012.94
103000 -90.4279 12800.5 9842.95 2957.57
104000 -120.356 12847.1 9871.59 2975.55
105000 -31.0635 12810 9844.75 2965.23
106000 -104.126 12886.1 9878.59 3007.55
107000 -171.596 12832.5 9865.15 2967.35
108000 -208.071 12848.1 9863.71 2984.37
109000 -136.968 12850.5 9870.41 2980.11
110000 -60.6053 12860.4 9878.98 2981.44
111000 -166.109 12867.8 9883.47 2984.33
112000 -229.968 12853.7 9876.07 2977.6
113000 -68.5528 12825.2 9868.15 2957.08
114000 -72.6845 12782.9 9841.46 2941.46
115000 -237.908 12836 9867.36 2968.6
116000 -249.524 12870.5 9879.12 2991.33
117000 -105.994 12928.8 9911.34 3017.46
118000 -227.234 12879.6 9892.78 2986.81
119000 -196.082 12985.8 9921.73 3064.05
120000 -151.036 12949.9 9909.72 3040.18
121000 -203.042 12884.6 9895.9 2988.68
122000 -140.748 12776.3 9850.08 2926.18
123000 33.1963 12857.8 9873.45 2984.35
124000 0.225288 12871.9 9891.82 2980.07
125000 -139.945 12861.2 9883.82 2977.37
126000 -73.8141 12835.8 9853.01 2982.75
127000 -47.4835 12858.5 9866.46 2992.03
128000 -89.9611 12869.9 9893.01 2976.84
129000 -44.6241 12898.9 9916.6 2982.3
130000 -15.4541 12912.4 9899.01 3013.35
131000 -126.423 12846 9880.48 2965.55
132000 -36.3332 12870.8 9894.63 2976.17
133000 -56.1721 12852 9895 2957
134000 84.3702 12905.4 9901.62 3003.73
135000 -99.4013 12944 9912.78 3031.2
136000 -90.9456 12878.8 9876.36 3002.45
137000 -18.5293 12842.6 9880.3 2962.33
138000 -54.805 12889.3 9891.95 2997.34
139000 -7.24958 12931.5 9906.67 3024.87
140000 33.8486 12893.3 9896.26 2997.07
141000 38.1843 12942.2 9905.52 3036.72
142000 -44.0945 12870 9895.27 2974.72
143000 -17.9 12817.2 9852.63 2964.61
144000 -36.0523 12785.3 9849.84 2935.48
145000 21.8829 12862.8 9879.83 2982.98
146000 63.7855 12834.3 9859.59 2974.71
147000 -42.7025 12826 9861.07 2964.94
148000 14.3756 12903.4 9899.12 3004.27
149000 22.2402 12887.9 9871.78 3016.14
150000 69.1492 12856.4 9880.69 2975.72
151000 -100.986 12822.3 9861.61 2960.66
152000 11.3896 12816.7 9850.35 2966.38
153000 40.0035 12903.8 9890.18 3013.58
154000 251.087 12914.2 9889.61 3024.59
155000 135.23 12949.5 9909.57 3039.97
156000 166.272 12958.4 9904.08 3054.34
157000 91.9901 12865.1 9873.21 2991.86
158000 52.2536 12983.2 9914.84 3068.37
159000 -74.4324 12940 9889.97 3050.01
160000 -154.731 12800.3 9836.27 2964
161000 -159.675 12909.8 9882.83 3027
162000 47.8004 12881.8 9866.42 3015.42
163000 -36.9689 12912.9 9905.13 3007.76
164000 -29.4156 12908.7 9901.33 3007.42
165000 -9.99985 12840.8 9866.48 2974.28
166000 -151.88 12873.3 9875.6 2997.65
167000 -19.6655 12781.8 9828.83 2952.98
168000 47.5316 12865.5 9875.05 2990.42
169000 193.969 12854.7 9879.47 2975.24
170000 7.7196 12881.4 9893.49 2987.92
171000 52.8844 12846.9 9874.4 2972.5
172000 61.3618 12816.2 9866.03 2950.2
173000 -79.2106 12817.8 9853.95 2963.89
174000 48.663 12843 9854.64 2988.39
175000 21.5263 12804.5 9859.37 2945.18
176000 5.1974 12833.6 9864.9 2968.69
177000 3.86484 12808.3 9851.01 2957.33
178000 -48.9186 12842.2 9862.3 2979.9
179000 -42.7805 12791.3 9839.95 2951.31
180000 -131.362 12865.4 9880.05 2985.35
181000 7.96155 12884.7 9873.42 3011.3
182000 -25.4036 12842.3 9855.46 2986.8
183000 19.6791 12852.6 9865.47 2987.14
184000 -77.6411 12850.6 9869.14 2981.42
185000 -212.86 12787.8 9844.94 2942.85
186000 -56.7966 12843.8 9873.5 2970.29
187000 -198.202 12828.1 9858.63 2969.45
188000 -50.4755 12998.9 9934.45 3064.45
189000 -130.458 12854.7 9888.1 2966.56
190000 -46.0581 12881.1 9893.41 2987.73
191000 -161.434 12856.1 9888.93 2967.22
